customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,support_calls,cancellation_flag_after_signup,churn
596,57.0,31.73,,Two year,Fiber optic,2,0,No
398,14.0,92.36,1054.37,Two year,DSL,3,0,No
328,3.0,69.7,190.09,Month-to-month,DSL,1,1,Yes
279,5.0,67.96,363.16,Two year,No,0,0,No
265,71.0,116.2,9838.45,Two year,DSL,2,0,No
635,13.0,78.5,907.78,Month-to-month,No,1,0,No
111,20.0,24.21,491.37,Two year,Fiber optic,1,0,No
229,39.0,49.84,2177.25,Month-to-month,No,2,0,No
303,1.0,58.53,63.4,Month-to-month,DSL,1,1,Yes
508,18.0,70.96,1224.45,One year,DSL,1,0,No
35,64.0,72.3,5098.05,Two year,Fiber optic,1,0,No
739,53.0,65.4,3625.04,One year,Fiber optic,1,0,No
745,57.0,47.64,2965.37,Month-to-month,No,2,0,No
149,59.0,30.86,1526.9,Month-to-month,Fiber optic,2,0,No
598,,88.39,5186.85,Two year,No,0,0,No
442,22.0,67.06,1304.73,One year,Fiber optic,3,0,No
509,20.0,62.21,1465.66,One year,No,1,0,No
327,17.0,44.12,694.24,Month-to-month,No,1,0,No
154,21.0,50.34,879.78,One year,No,0,0,No
792,33.0,73.72,2375.28,Month-to-month,No,2,0,No
386,9.0,103.98,847.71,Month-to-month,DSL,1,1,Yes
611,60.0,89.17,5244.46,Two year,No,2,0,No
380,19.0,25.41,413.27,One year,No,0,0,No
189,17.0,74.75,1438.42,Two year,DSL,0,0,No
583,8.0,93.11,796.94,Month-to-month,No,1,1,Yes
468,43.0,70.78,2915.72,One year,Fiber optic,3,0,No
368,23.0,121.22,2419.79,Month-to-month,DSL,2,1,Yes
95,64.0,75.58,4958.18,Month-to-month,DSL,1,0,No
620,10.0,78.51,807.03,One year,DSL,0,0,No
272,2.0,74.43,165.65,Month-to-month,No,1,1,Yes
252,36.0,42.17,1516.52,Two year,Fiber optic,1,0,No
62,53.0,61.71,3444.98,Month-to-month,DSL,3,0,No
485,33.0,76.97,2127.36,Two year,,0,0,No
356,71.0,99.69,8063.04,One year,Fiber optic,2,0,No
54,34.0,80.7,2547.35,Month-to-month,DSL,2,0,No
390,11.0,75.07,916.87,Two year,Fiber optic,0,0,No
519,34.0,54.44,1662.83,Month-to-month,DSL,1,0,No
688,43.0,30.18,1501.78,One year,DSL,5,0,No
557,53.0,82.27,4091.78,Month-to-month,Fiber optic,0,0,No
712,38.0,82.36,3518.58,Month-to-month,DSL,2,0,No
309,23.0,49.33,1047.66,One year,Fiber optic,0,0,No
738,24.0,64.1,1608.55,Month-to-month,Fiber optic,1,0,No
