customer_id,signup_date,age,gender,city,plan_type,contract_type,payment_method,tenure_months,monthly_charges,total_charges,num_support_calls,data_usage_gb,has_internet_service,satisfaction_score,last_login_days_ago,churn
CUST100000,2019-07-15,31,Female,Berlin,Premium,Two year,PayPal,19,85.39,1571.87,1,63.9,Yes,9,65,1
CUST100001,2023-08-22,53,Female,Berlin,Premium,Month-to-month,Auto-debit,66,79.46,5241.54,2,207.4,No,6,36,0
CUST100002,2022-12-04,41,Male,Sydney,Basic,Month-to-month,Debit Card,29,22.65,661.72,2,72.9,Yes,5,77,1
CUST100003,2021-08-19,37,Male,Chicago,Basic,Month-to-month,Auto-debit,38,12.82,508.28,0,65.7,Yes,7,62,0
CUST100004,2021-08-06,40,Female,Dubai,Standard,Two year,Auto-debit,32,43.93,1427.63,3,89.8,Yes,6,45,0
CUST100005,2024-02-24,44,Male,Berlin,Standard,Month-to-month,Bank Transfer,33,51.58,1622.32,1,62.5,Yes,3,48,0
CUST100006,2019-07-08,49,Female,Singapore,Basic,Month-to-month,Bank Transfer,12,25.82,306.14,2,169.7,Yes,10,20,0
CUST100007,2023-03-08,28,Female,Chicago,Standard,Two year,PayPal,40,40.22,1656.01,7,44.5,Yes,8,79,1
CUST100008,2020-03-17,27,Male,Paris,Premium,Month-to-month,Debit Card,30,76.73,2246.78,1,78.1,Yes,5,5,1
CUST100009,2019-07-26,55,Female,Dubai,Standard,Two year,PayPal,62,39.07,2525.28,5,48.2,No,2,4,0
CUST100010,2022-02-26,36,Female,London,Basic,Month-to-month,Auto-debit,35,16.06,563.73,1,29.8,Yes,6,70,0
CUST100011,2024-11-06,23,Male,Berlin,Basic,One year,Credit Card,70,11.61,779.58,3,53.9,Yes,5,2,0
CUST100012,2023-05-31,47,Female,Berlin,Basic,Two year,Debit Card,22,19.17,410.85,1,94.9,Yes,6,45,0
CUST100013,2023-07-25,47,Female,London,Basic,Month-to-month,PayPal,24,23.8,594.41,2,18.0,Yes,2,16,1
CUST100014,2023-04-21,21,Male,Berlin,Standard,One year,Debit Card,3,40.29,126.81,3,49.0,Yes,5,61,1
CUST100015,2023-09-18,44,Female,Toronto,Standard,Month-to-month,Bank Transfer,54,44.46,2487.99,2,78.3,Yes,6,10,0
CUST100016,2022-01-28,51,Male,Singapore,Standard,One year,Debit Card,6,43.68,257.38,1,29.6,Yes,6,23,1
CUST100017,2019-10-08,46,Female,Sydney,Premium,Two year,Bank Transfer,21,86.33,1861.67,3,86.5,Yes,6,47,1
CUST100018,2024-01-14,49,Female,Mumbai,Basic,One year,Credit Card,66,16.33,1047.84,1,72.0,Yes,7,34,0
CUST100019,2021-09-13,23,Female,Berlin,Basic,Two year,Debit Card,44,16.55,719.79,0,65.3,Yes,10,18,0
CUST100020,2021-12-31,45,Female,London,Basic,One year,Bank Transfer,41,14.92,623.78,1,153.3,Yes,5,5,0
CUST100021,2021-03-23,37,Female,Paris,Basic,One year,PayPal,58,13.17,799.68,2,35.2,Yes,4,1,1
CUST100022,2020-02-04,35,Male,São Paulo,Standard,Month-to-month,Bank Transfer,56,48.18,2681.68,5,57.2,Yes,3,17,1
CUST100023,2024-07-22,52,Male,Berlin,Premium,One year,Bank Transfer,64,79.19,5066.05,2,41.5,Yes,5,25,0
CUST100024,2023-09-08,60,Male,Dubai,Premium,Two year,Debit Card,48,80.33,3747.94,0,35.6,Yes,3,10,0
CUST100025,2022-11-11,64,Female,Dubai,Standard,One year,PayPal,33,52.65,1720.64,0,107.3,Yes,9,45,0
CUST100026,2021-05-31,58,Male,Paris,Standard,Month-to-month,Auto-debit,10,52.99,506.74,2,43.6,No,6,79,1
CUST100027,2023-12-07,40,Male,London,Basic,Month-to-month,Auto-debit,27,10.12,283.04,2,35.0,Yes,9,64,0
CUST100028,2022-04-09,46,Female,São Paulo,Standard,One year,Credit Card,51,48.89,2374.54,1,81.9,Yes,10,27,0
CUST100029,2021-08-29,51,Male,Paris,Basic,Two year,Bank Transfer,19,21.35,413.09,4,59.5,Yes,5,39,1
CUST100030,2021-09-13,43,Male,Dubai,Premium,Month-to-month,PayPal,49,77.23,3698.45,4,98.8,Yes,6,69,0
CUST100031,2020-05-12,43,Male,Berlin,Standard,Month-to-month,Credit Card,10,46.97,468.58,0,27.0,Yes,9,86,0
CUST100032,2019-07-21,52,Male,Chicago,Basic,Month-to-month,Bank Transfer,5,10.0,48.91,1,94.4,Yes,7,49,0
CUST100033,2022-04-29,40,Female,Mumbai,Basic,Month-to-month,Credit Card,27,28.78,769.29,2,43.6,No,8,17,0
CUST100034,2024-04-28,32,Male,Mumbai,Basic,Two year,Debit Card,17,23.09,394.37,1,96.3,No,9,78,0
CUST100035,2019-05-20,36,Male,Singapore,Premium,Month-to-month,Bank Transfer,63,74.81,4779.43,4,104.2,Yes,8,46,0
CUST100036,2024-02-23,49,Female,Dubai,Basic,Month-to-month,Auto-debit,28,16.49,482.05,1,52.1,Yes,7,2,0
CUST100037,2023-12-18,41,Female,London,Basic,Month-to-month,PayPal,31,10.0,304.8,1,71.3,Yes,10,22,0
CUST100038,2020-08-29,45,Female,Singapore,Basic,Month-to-month,Auto-debit,30,18.12,548.21,2,8.3,Yes,6,47,1
CUST100039,2022-10-15,50,Female,Dubai,Premium,Two year,Auto-debit,23,77.1,1844.54,3,32.3,Yes,8,72,0
CUST100040,2019-12-28,36,Female,Singapore,Standard,Month-to-month,PayPal,67,37.05,2430.28,1,70.2,Yes,6,76,1
CUST100041,2023-07-19,51,Male,Toronto,Standard,Month-to-month,Credit Card,54,49.66,2779.53,2,78.5,No,9,16,0
CUST100042,2023-03-15,46,Female,New York,Basic,Month-to-month,Bank Transfer,12,27.66,347.11,0,100.6,Yes,5,65,0
CUST100043,2021-02-15,25,Female,Singapore,Basic,Two year,Credit Card,16,19.84,328.47,4,50.6,No,3,86,1
CUST100044,2019-05-29,60,Male,Zürich,Premium,Two year,Auto-debit,6,78.17,472.3,2,39.2,Yes,8,71,0
CUST100045,2024-10-26,34,Male,Singapore,Basic,Month-to-month,Debit Card,19,22.61,439.13,3,44.4,Yes,4,64,1
CUST100046,2021-09-03,19,Male,Paris,Basic,One year,Bank Transfer,48,19.88,952.43,4,19.6,Yes,4,71,0
CUST100047,2024-05-09,27,Female,São Paulo,Standard,Month-to-month,Bank Transfer,68,38.51,2644.15,2,139.6,Yes,9,50,0
CUST100048,2023-01-24,28,Female,Singapore,Basic,One year,PayPal,35,16.08,589.5,1,75.5,No,9,54,0
CUST100049,2023-09-01,42,Female,New York,Basic,Month-to-month,Auto-debit,6,18.22,106.6,2,47.5,Yes,6,47,0
CUST100050,2023-07-23,37,Male,Singapore,Premium,Two year,Bank Transfer,4,81.49,335.5,4,18.1,Yes,1,86,1
CUST100051,2020-03-02,37,Male,Berlin,Standard,Two year,Auto-debit,30,45.06,1352.64,1,91.8,Yes,8,32,0
CUST100052,2021-03-07,49,Male,Zürich,Basic,Month-to-month,Credit Card,20,21.26,411.46,1,61.4,Yes,8,69,0
CUST100053,2021-10-19,45,Female,London,Basic,Month-to-month,PayPal,42,10.85,462.24,2,59.8,Yes,8,1,0
CUST100054,2021-12-26,45,Female,Chicago,Standard,Month-to-month,Auto-debit,9,48.99,453.8,2,45.6,Yes,8,37,0
CUST100055,2019-04-06,46,Female,Toronto,Basic,Month-to-month,Auto-debit,17,20.02,342.68,1,24.8,Yes,6,82,1
CUST100056,2022-04-11,49,Female,Mumbai,Basic,Month-to-month,PayPal,41,35.32,1496.98,1,98.2,No,6,21,0
CUST100057,2019-12-04,18,Female,London,Standard,Month-to-month,Credit Card,21,42.67,884.05,2,79.7,Yes,4,71,1
CUST100058,2023-06-16,36,Female,Berlin,Standard,Two year,Debit Card,27,46.94,1319.82,2,47.3,Yes,5,45,1
CUST100059,2023-02-04,18,Male,Paris,Premium,Month-to-month,PayPal,16,96.98,1574.69,3,144.5,Yes,7,12,0
CUST100060,2024-07-13,41,Male,Toronto,Basic,Two year,Bank Transfer,4,21.16,87.21,4,48.8,Yes,7,9,0
CUST100061,2023-06-20,41,Male,Singapore,Basic,Month-to-month,Auto-debit,25,19.59,478.63,2,56.1,Yes,8,10,0
CUST100062,2021-03-13,55,Male,Paris,Standard,Month-to-month,Credit Card,24,39.08,932.87,2,54.0,No,3,41,1
CUST100063,2024-10-19,56,Male,São Paulo,Standard,Month-to-month,Debit Card,65,54.17,3665.28,0,125.7,Yes,3,27,1
CUST100064,2021-06-18,44,Male,New York,Basic,Two year,Debit Card,65,13.05,810.15,3,65.5,No,6,80,0
CUST100065,2020-12-14,34,Female,Sydney,Standard,Month-to-month,Auto-debit,32,47.56,1507.31,3,81.3,Yes,4,68,1
CUST100066,2024-06-06,47,Male,Sydney,Basic,Month-to-month,Credit Card,21,17.16,370.46,0,35.0,Yes,7,12,1
CUST100067,2021-03-22,34,Female,Toronto,Premium,One year,Debit Card,31,78.86,2504.26,2,29.3,Yes,4,45,0
CUST100068,2019-06-17,41,Female,Berlin,Premium,One year,Debit Card,44,71.46,3254.8,2,75.2,Yes,9,68,0
CUST100069,2021-10-25,54,Female,Singapore,Standard,One year,Credit Card,28,53.06,1521.25,1,169.3,Yes,5,58,0
CUST100070,2023-10-09,34,Female,Sydney,Premium,Month-to-month,Bank Transfer,55,78.33,4500.76,2,49.1,Yes,10,0,1
CUST100071,2020-02-19,51,Male,Toronto,Premium,Month-to-month,PayPal,70,72.71,5088.81,1,86.4,Yes,8,0,0
CUST100072,2021-10-10,50,Female,Sydney,Basic,Two year,PayPal,30,27.52,835.86,3,42.7,Yes,4,52,0
CUST100073,2019-10-12,29,Male,Sydney,Basic,One year,Auto-debit,9,16.98,158.13,5,52.9,Yes,10,83,1
CUST100074,2023-02-12,54,Female,Berlin,Standard,One year,PayPal,9,47.01,431.62,2,110.4,Yes,7,4,0
CUST100075,2021-11-07,50,Male,Mumbai,Basic,Month-to-month,Debit Card,63,25.05,1515.35,4,137.2,Yes,7,14,0
CUST100076,2020-12-24,42,Male,Paris,Basic,Month-to-month,Debit Card,30,22.84,676.09,2,83.9,Yes,6,16,1
CUST100077,2020-05-11,31,Female,Singapore,Basic,Two year,Auto-debit,24,10.0,241.26,1,61.0,Yes,8,28,0
CUST100078,2022-05-21,30,Female,São Paulo,Premium,One year,PayPal,45,84.17,3884.13,3,181.7,Yes,8,80,1
CUST100079,2023-01-06,34,Male,Paris,Standard,Month-to-month,Credit Card,69,44.4,3076.95,0,165.4,Yes,5,85,1
CUST100080,2024-08-21,48,Female,São Paulo,Standard,Two year,Bank Transfer,31,43.03,1370.95,3,46.7,Yes,6,27,1
CUST100081,2021-08-15,29,Male,Berlin,Basic,One year,Bank Transfer,23,19.35,460.08,2,24.4,Yes,7,65,1
CUST100082,2019-12-18,47,Female,Sydney,Basic,Month-to-month,Debit Card,63,10.34,636.12,2,60.6,Yes,8,0,0
CUST100083,2023-12-29,25,Male,Mumbai,Premium,Month-to-month,PayPal,6,81.15,492.55,2,28.0,Yes,8,45,1
CUST100084,2022-10-11,38,Male,Mumbai,Basic,One year,PayPal,61,11.81,724.52,0,110.2,Yes,7,56,0
CUST100085,2023-03-14,42,Male,London,Basic,Month-to-month,Credit Card,38,18.28,675.7,1,31.9,Yes,5,77,0
CUST100086,2019-08-01,73,Male,London,Basic,One year,Credit Card,2,20.94,41.84,3,111.6,Yes,5,73,0
CUST100087,2020-11-15,23,Male,Sydney,Standard,One year,Bank Transfer,17,51.44,878.73,0,153.7,Yes,4,5,0
CUST100088,2023-08-09,60,Male,Chicago,Basic,Month-to-month,Bank Transfer,49,15.08,762.37,2,19.6,No,8,37,1
CUST100089,2023-12-28,43,Male,Zürich,Basic,Two year,Bank Transfer,55,28.71,1572.89,3,15.9,Yes,5,6,0
CUST100090,2021-08-11,46,Male,Chicago,Basic,Month-to-month,Debit Card,15,25.68,369.06,2,30.7,Yes,6,0,1
CUST100091,2023-10-29,43,Female,Berlin,Basic,Month-to-month,PayPal,48,17.42,835.1,2,83.3,Yes,7,13,0
CUST100092,2024-01-18,47,Male,Sydney,Basic,One year,Auto-debit,72,13.35,993.68,1,123.3,Yes,7,83,0
CUST100093,2021-04-28,39,Female,Singapore,Standard,One year,Debit Card,50,36.34,1829.95,2,32.3,Yes,6,23,0
CUST100094,2024-05-20,60,Female,Mumbai,Basic,Month-to-month,Bank Transfer,51,21.63,1083.15,1,89.5,Yes,5,66,1
CUST100095,2020-09-23,35,Male,Mumbai,Basic,One year,Credit Card,14,15.58,227.3,5,72.6,Yes,7,63,1
CUST100096,2020-06-08,56,Female,Sydney,Standard,Two year,Credit Card,46,52.2,2318.52,1,41.0,Yes,6,78,0
CUST100097,2023-02-03,33,Male,New York,Standard,Two year,Auto-debit,52,40.92,2091.0,2,156.9,Yes,6,47,0
CUST100098,2022-10-26,40,Male,Chicago,Basic,Two year,Credit Card,8,14.6,116.07,1,98.8,No,9,87,0
CUST100099,2019-11-03,27,Female,Paris,Basic,Month-to-month,Bank Transfer,23,21.4,503.91,2,61.7,No,8,38,0
CUST100100,2023-12-29,47,Female,New York,Basic,Month-to-month,PayPal,64,15.88,1050.44,2,34.6,Yes,5,70,0
CUST100101,2020-03-13,60,Female,Sydney,Premium,One year,Auto-debit,72,80.05,5509.17,4,93.8,No,6,70,1
CUST100102,2023-10-29,40,Male,Singapore,Basic,Month-to-month,PayPal,13,25.92,346.8,1,103.3,Yes,10,48,0
CUST100103,2019-01-17,38,Female,Dubai,Basic,One year,Bank Transfer,53,20.7,1121.29,4,68.2,Yes,6,28,0
CUST100104,2023-10-12,27,Male,Paris,Standard,Month-to-month,Auto-debit,37,45.73,1758.79,3,62.8,Yes,7,14,0
CUST100105,2023-09-20,38,Male,Sydney,Basic,Month-to-month,Auto-debit,43,21.23,949.45,1,98.6,Yes,8,7,0
CUST100106,2023-09-05,20,Male,Zürich,Basic,Month-to-month,Bank Transfer,37,10.0,380.27,2,60.7,Yes,7,44,0
CUST100107,2022-12-27,29,Other,Paris,Basic,Month-to-month,Credit Card,63,22.35,1364.43,5,37.5,Yes,6,35,0
CUST100108,2021-10-29,44,Male,Dubai,Standard,Month-to-month,Credit Card,33,45.96,1488.45,2,21.8,Yes,5,18,0
CUST100109,2023-03-25,58,Female,Toronto,Standard,One year,PayPal,43,50.36,2259.96,5,61.1,No,6,68,1
CUST100110,2020-08-29,78,Female,Dubai,Standard,One year,Bank Transfer,49,48.63,2406.26,1,21.2,Yes,8,14,0
CUST100111,2023-09-06,33,Female,Sydney,Standard,Month-to-month,Bank Transfer,40,43.79,1758.39,0,104.1,Yes,9,42,0
CUST100112,2022-05-01,60,Female,New York,Basic,Month-to-month,Bank Transfer,64,26.19,1745.84,0,61.1,Yes,3,38,0
CUST100113,2021-10-02,44,Female,Dubai,Premium,Two year,Credit Card,18,78.24,1461.02,3,114.2,No,10,87,0
CUST100114,2022-01-12,39,Male,Chicago,Standard,Month-to-month,Credit Card,69,46.48,3280.08,1,76.2,Yes,6,9,0
CUST100115,2022-05-30,47,Male,Sydney,Premium,Month-to-month,Credit Card,49,78.13,3974.71,3,89.8,Yes,9,77,0
CUST100116,2019-03-23,42,Female,Mumbai,Standard,Month-to-month,PayPal,70,47.77,3214.77,2,40.0,Yes,5,61,1
CUST100117,2019-11-03,42,Male,Sydney,Basic,One year,Bank Transfer,27,17.74,491.32,2,58.3,Yes,3,71,0
CUST100118,2020-06-21,36,Male,London,Basic,Two year,Credit Card,35,29.89,1094.86,1,75.5,Yes,4,70,1
CUST100119,2019-09-08,23,Male,Paris,Standard,One year,Auto-debit,4,57.1,218.1,0,69.9,Yes,6,69,0
CUST100120,2021-08-20,21,Male,New York,Basic,Two year,Debit Card,67,25.24,1644.24,3,68.0,Yes,8,39,0
CUST100121,2023-01-03,49,Male,Singapore,Standard,Two year,Bank Transfer,59,54.25,3294.84,1,29.0,No,7,52,0
CUST100122,2022-12-04,37,Male,New York,Basic,Month-to-month,Bank Transfer,22,10.76,237.19,5,14.2,Yes,6,32,1
CUST100123,2021-10-28,33,Female,Zürich,Basic,Month-to-month,Credit Card,4,11.47,43.98,1,27.5,Yes,9,81,1
CUST100124,2024-02-16,41,Male,Chicago,Premium,Month-to-month,Auto-debit,51,78.07,3889.18,0,5.8,Yes,7,20,1
CUST100125,2022-05-22,51,Other,São Paulo,Standard,Month-to-month,Auto-debit,49,45.25,2178.24,4,16.2,Yes,7,53,0
CUST100126,2019-06-23,43,Female,São Paulo,Standard,One year,Auto-debit,38,43.81,1634.99,1,79.1,Yes,10,18,0
CUST100127,2023-08-03,32,Male,Dubai,Basic,Month-to-month,Credit Card,12,10.15,126.4,3,53.3,Yes,6,33,1
CUST100128,2022-06-12,57,Female,Paris,Standard,Month-to-month,Debit Card,67,51.91,3534.33,4,35.8,Yes,5,86,1
CUST100129,2022-10-22,62,Female,Chicago,Premium,Month-to-month,Debit Card,32,92.93,3043.62,3,52.6,Yes,8,17,0
CUST100130,2022-05-23,47,Female,Berlin,Standard,One year,PayPal,53,52.69,2656.73,5,11.5,Yes,8,79,1
CUST100131,2022-04-27,54,Male,Singapore,Standard,One year,Auto-debit,62,51.51,3170.47,1,60.1,Yes,7,73,0
CUST100132,2019-07-18,57,Male,Dubai,Standard,Two year,Bank Transfer,40,46.36,1820.62,2,23.1,Yes,7,32,0
CUST100133,2022-05-09,56,Male,Toronto,Basic,Month-to-month,Bank Transfer,7,14.94,108.26,4,133.9,Yes,10,33,1
CUST100134,2023-10-07,49,Female,Zürich,Standard,Month-to-month,PayPal,64,45.44,3040.15,2,92.4,Yes,9,0,0
CUST100135,2020-10-27,49,Other,New York,Premium,Two year,Auto-debit,49,92.63,4504.08,3,87.4,Yes,6,71,0
CUST100136,2022-08-13,48,Female,Chicago,Standard,One year,Auto-debit,65,42.89,2919.73,1,69.1,Yes,5,59,1
CUST100137,2019-03-09,27,Female,São Paulo,Basic,One year,Auto-debit,45,17.27,739.41,0,97.5,Yes,7,88,0
CUST100138,2021-01-31,50,Other,Zürich,Standard,Month-to-month,Auto-debit,66,51.64,3348.84,1,60.3,Yes,5,26,0
CUST100139,2021-08-14,23,Female,Dubai,Standard,Month-to-month,Bank Transfer,63,52.04,3368.66,2,35.1,Yes,8,35,0
CUST100140,2024-11-22,31,Male,Berlin,Premium,Two year,Credit Card,16,74.91,1181.79,3,88.4,Yes,7,61,1
CUST100141,2020-04-14,58,Female,Mumbai,Standard,One year,Debit Card,13,43.43,588.36,2,118.2,No,10,30,0
CUST100142,2020-08-28,52,Male,Chicago,Basic,One year,Bank Transfer,12,16.99,198.14,1,30.4,Yes,10,28,0
CUST100143,2021-06-13,60,Male,London,Basic,Month-to-month,Debit Card,58,20.42,1219.38,2,18.1,Yes,4,15,0
CUST100144,2024-12-13,37,Female,Dubai,Standard,Month-to-month,Credit Card,18,51.62,901.44,0,185.8,Yes,5,88,1
CUST100145,2024-02-12,26,Female,Toronto,Basic,Month-to-month,Auto-debit,33,15.18,485.77,0,144.5,Yes,2,42,0
CUST100146,2019-03-17,38,Male,Singapore,Standard,One year,PayPal,57,51.54,2921.84,0,64.7,Yes,2,69,1
CUST100147,2020-05-27,42,Female,Singapore,Premium,Month-to-month,Auto-debit,31,80.61,2610.1,1,9.1,No,7,58,0
CUST100148,2023-12-05,42,Male,Zürich,Standard,Month-to-month,Debit Card,5,58.96,297.32,3,75.8,Yes,4,53,1
CUST100149,2019-05-08,56,Male,Chicago,Basic,Month-to-month,Debit Card,27,21.91,599.56,3,246.0,Yes,10,28,0
